,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
2760,Artur16228,23.69,5687,17.63,20.83,1.15,33.51
2805,Ascobarran,1.84,4557,12.56,2.02,2.39,38.15
2806,asd754,7.76,1235,14.1,31.42,1.63,38.46
2807,asdabelle,-13.77,3019,19.21,-22.81,1.68,38.63
2922,Atrito190,-9.5,2237,11.63,-21.23,2.19,34.09
2932,attila225,53.88,19158,14.68,14.06,0.95,24.47
2951,augustty,6.82,892,15.24,38.23,3.16,55.37
2954,auldstevie,-0.95,627,14.31,-7.58,0.97,28.32
2970,Autoritet77,9.64,2032,13.94,23.72,3.1,49.59
2987,avg35,25.0,3159,19.99,39.57,2.72,47.2
3032,Axxxxx588,17.18,9020,18.37,9.52,0.85,28.67
3038,AYFKMWTS,16.43,6954,16.42,11.81,1.97,43.93
3061,azazaZz,3.63,3841,11.13,4.73,2.35,38.49
3068,azick18,17.6,6180,19.32,14.24,2.46,49.58
3150,babyleeama,5.88,2086,18.78,14.09,5.48,62.65
3198,bagram8789,19.14,4173,19.59,22.93,1.89,42.13
3263,Balveda P.,-0.17,718,19.94,-1.18,1.96,46.77
3343,barmbekm50,0.33,2749,19.72,0.6,0.66,21.1
3361,barrat33,-4.34,1386,18.29,-15.66,2.07,37.96
3393,Basher_97,-10.27,1118,15.11,-45.93,1.54,39.15
3481,bazr1,1.66,756,12.47,10.98,1.13,35.5
3528,beardie001,0.54,704,16.6,3.84,3.15,40.91
3539,beatlepool,9.36,3042,12.65,15.38,3.28,54.48
3544,Beauty_Me,0.34,1532,14.67,1.11,3.5,42.0
3583,Beillou,2.32,609,19.38,19.05,0.93,30.98
3628,ben chur,5.46,2108,12.7,12.95,1.61,36.5
3685,Benno1904,-2.18,601,7.71,-18.14,0.61,18.89
3690,Benny1213,6.72,2472,14.88,13.59,0.88,23.91
3695,Bennyboy062,-10.98,1902,19.26,-28.86,1.47,43.09
3699,Benoit1999,10.19,2723,16.64,18.71,2.71,44.74
3721,berger757,-2.27,822,19.02,-13.81,7.12,61.73
3806,BezDopinga,12.28,3911,14.29,15.7,4.9,52.8
3828,BHO19,2.6,772,15.38,16.84,2.38,49.16
3843,bibgemma,-11.44,8338,16.62,-6.86,1.45,25.87
3863,Big Salo 81,0.49,854,12.8,2.87,0.7,23.36
3981,bilberry596,17.48,7715,17.91,11.33,0.85,22.21
4009,BiM-WiNNeR,69.5,18280,14.29,19.01,3.25,42.71
4025,bionik-ru,4.38,930,19.44,23.55,2.32,45.59
4034,birgit233,-3.0,13264,12.26,-1.13,1.43,25.33
4041,BirviZ,17.77,1917,17.51,46.35,5.73,55.79
4066,BJ_CM19,-11.08,9722,15.78,-5.7,2.96,51.64
4087,Black HoleUK,0.98,509,19.33,9.63,3.15,47.73
4092,black.pantherx,8.78,2645,15.51,16.6,1.62,35.77
4093,BLACK1957CAT,-1.61,763,18.01,-10.29,1.79,46.5
4124,BlackWinegum,-7.89,1781,16.23,-22.15,2.0,38.32
4126,BlackyStar93,18.81,2247,18.68,41.86,1.47,36.36
4127,BLADE1512,2.96,2575,18.91,5.75,1.76,36.73
4145,Blaulillie,-4.08,1096,12.01,-18.61,1.3,38.82
4177,blom121,-1.7,2538,13.91,-3.35,1.82,39.9
4186,bloody55hawk,25.75,15444,19.71,8.34,2.65,39.14
4190,blopisanz,10.12,1721,12.71,29.4,4.41,44.25
4194,Blubby2k,-7.3,668,17.57,-54.64,2.53,48.21
4201,blueheron1508,-0.28,647,14.13,-2.16,1.27,31.11
4204,bluemoon3939,9.65,4667,6.93,10.34,9.94,46.37
4236,bmg19,19.15,3447,18.22,27.78,3.83,51.44
4274,bober2702,30.75,8618,15.71,17.84,2.02,45.51
4301,bodamester,0.55,842,11.67,3.27,2.73,50.0
4316,bogaaach,1.09,6743,19.3,0.81,0.81,30.26
4341,bogus9000,-1.08,4446,17.04,-1.21,3.81,55.71
4389,bondarenko44,15.66,4459,12.66,17.56,3.66,48.61
4391,bondo74rus,5.23,714,14.49,36.62,1.9,43.7
4411,boogaga-5150,-1.68,1072,14.7,-7.84,2.77,41.09
4419,Boomgah,17.59,10677,17.73,8.24,1.33,35.24
4421,Boomz25,-5.07,15881,12.26,-1.6,1.94,28.14
4429,Bopp,-5.63,2083,18.16,-13.51,2.09,40.44
4442,borghi30,11.39,1457,19.27,38.74,1.68,32.7
4486,bosy4asy,-3.2,1709,13.87,-9.36,1.6,39.88
4512,BOYOK77,-7.26,886,10.91,-40.97,2.66,54.84
4543,bradeda,-5.17,2531,13.96,-10.21,1.38,31.56
4562,Brakonyer,19.08,3584,18.35,26.62,1.79,36.66
4630,brenops,12.34,3860,12.63,15.98,4.17,42.56
4636,brest36,48.91,11457,13.29,21.35,1.68,33.66
4660,Brixen555,16.1,8289,17.26,9.71,2.41,50.76
4661,Briz 757,-3.94,1259,8.05,-15.65,0.5,15.98
4810,buksi1117,1.19,4573,14.92,1.3,0.93,25.41
