,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
93,008sim,-0.04,84,77.38,-2.38,0.87,29.55
94,008slevin008,-0.22,24,29.17,-45.83,2.5,41.67
95,00_Nadia_00,-0.81,5,60.0,-810.0,0.0,0.0
96,00Clasens,-4.32,348,56.94,-62.07,0.78,25.62
97,00Eppich,1.24,76,43.84,81.58,1.5,42.86
98,00ili00,-2.33,287,39.16,-40.59,0.86,34.3
99,00kush7,2.25,75,54.67,150.0,0.8,25.0
100,01 SATAN,1.18,90,39.33,65.56,0.94,34.78
101,0102196434,-2.4,36,44.44,-333.33,1.57,44.0
102,01051991,-0.97,116,53.04,-41.81,1.45,46.6
103,010Ivan010,-1.19,187,28.49,-31.82,0.75,33.33
104,010Tony010,-7.07,26896,9.88,-1.31,4.42,47.7
105,01100401996,-2.0,5,80.0,-2000.0,1.0,50.0
106,01111111111110,-1.39,45,26.67,-154.44,1.14,38.1
107,01cccp01,0.13,55,30.91,11.82,3.33,57.14
108,01KOTIGROK87,-0.33,26,23.08,-63.46,4.0,50.0
109,01thorba,-2.0,23,43.48,-434.78,1.2,31.58
110,020980859,-0.08,2,50.0,-200.0,0.0,0.0
111,02K20,-8.38,435,39.86,-96.32,2.69,47.51
112,0317boli,-2.03,55,51.85,-184.55,4.67,73.68
113,04_Aguiar04,-8.01,407,58.62,-98.4,1.58,39.07
114,04Alex89,-0.42,16,37.5,-131.25,0.0,0.0
115,04LP09,0.64,7,57.14,457.14,0.67,28.57
116,04pavel08,-1.17,8,87.5,-731.25,3.0,42.86
117,04zone,16.43,2416,21.07,34.0,3.06,53.23
118,05gambler50,0.14,16,37.5,43.75,2.0,57.14
119,060067,2.38,158,17.31,75.32,1.6,52.17
120,069Russki069,-1.03,44,41.86,-117.05,0.88,40.0
121,07566,-0.58,31,51.61,-93.55,1.67,51.72
122,07cezar,4.45,2050,19.23,10.85,1.51,39.86
123,07JDUB72,-0.16,14,57.14,-57.14,0.0,0.0
124,0815-Fuzzi,0.06,51,31.37,5.88,0.8,30.77
125,09cmadden,-3.94,658,32.52,-29.94,1.65,43.34
126,09eleven@poker,1.01,106,38.68,47.64,0.81,29.31
127,09mexanik09,0.92,28,32.14,164.29,7.0,53.85
128,0[AunZ]0,-1.73,544,35.12,-15.9,0.56,23.28
129,0_$MITH_0,-7.13,259,70.7,-137.64,1.55,42.91
130,0Berti0,-0.97,34,61.76,-142.65,1.17,28.0
131,0BESPREDEL,0.37,17,52.94,108.82,1.6,53.33
132,0ctavi,-0.03,1,100.0,-150.0,0.0,0.0
133,0d!N,0.13,54,22.64,12.04,0.57,23.53
134,0Ice&Fire0,1.01,69,45.59,73.19,0.69,25.58
135,0K0NOK0S,0.27,139,38.13,9.71,4.86,50.75
136,0ldestman,-0.89,521,16.83,-8.54,3.0,50.47
