,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
3901,bigcjmitch,-2.2,1603,49.72,-6.86,1.31,34.41
3935,bigmars1,-82.79,3466,53.32,-119.43,0.6,27.82
3965,bigtq11,-4.13,645,52.19,-32.02,0.23,11.85
3967,BIGTRIP68,-14.06,553,45.09,-127.12,1.93,50.59
3975,Biki1412,-35.2,5794,70.28,-30.38,0.93,31.16
4018,binhoscray,1.8,629,50.64,14.31,1.55,47.4
4046,bislantok,-5.39,745,54.51,-36.17,0.6,21.72
4094,black21071980,-15.61,670,68.87,-116.49,2.1,51.26
4111,BlackMoneyS,5.54,2651,45.31,10.45,1.66,37.31
4169,blinker5,-17.22,2154,41.06,-39.97,1.32,30.74
4178,Blondato,3.55,1023,43.69,17.35,1.78,47.12
4189,bloomer777,-34.65,866,79.49,-200.06,1.77,49.06
4256,BOB19833007,1.09,702,45.56,7.76,1.02,36.88
4259,Bob7151,-2.41,532,53.96,-22.65,1.28,39.59
4261,Bob_SauroRlx,-2.7,901,50.5,-14.98,3.52,54.82
4282,bobn1983,-5.38,1071,44.44,-25.12,1.95,53.87
4309,Bods44,-7.21,804,49.81,-44.84,0.94,30.26
4310,BodyBagzz,0.53,748,40.4,3.54,1.67,44.44
4400,Bonishka,-20.0,2348,58.08,-42.59,2.85,53.85
4467,bos1763,-15.88,3848,52.11,-20.63,2.48,48.23
4469,bosi2021,-15.35,3001,50.74,-25.57,0.93,30.06
4477,bossgabriel071,-7.28,517,54.4,-70.41,2.14,48.29
4549,Bradock_Gyn,3.66,640,51.1,28.59,3.37,54.73
4550,BradShort93,0.14,736,57.05,0.95,1.98,47.5
4711,brunoblau,-4.54,521,47.68,-43.57,1.33,38.2
4723,BrunoPetroni,-11.15,557,42.13,-100.09,1.29,40.38
4765,buchtel1,-2.01,867,53.43,-11.59,1.0,34.78
4815,bulabula83161,-12.23,2313,49.56,-26.44,1.17,33.63
4854,bunes001,-27.42,1315,57.02,-104.26,2.88,60.3
4862,BUR)/(UJ431,-9.17,1151,53.23,-39.83,1.24,33.86
4904,butkevich_r,-12.45,1014,48.71,-61.39,1.74,45.6
4925,BuzzkillBaby,5.74,1363,50.07,21.06,2.87,53.67
5025,caiobam1,-12.32,755,45.95,-81.59,2.94,63.54
5033,caironluck,-34.19,588,59.63,-290.73,1.05,38.03
5034,Caistynas,-10.25,1567,45.26,-32.71,1.31,37.15
5037,cajorifon,-8.88,1015,54.2,-43.74,1.99,44.57
5118,cancoot,-3.12,2424,47.1,-6.44,1.58,42.5
5233,carmellita,3.8,3804,49.09,4.99,1.42,42.11
5281,casis44,-0.24,810,56.33,-1.48,0.85,29.85
5374,cec352,1.54,3419,42.19,2.25,1.57,42.17
5585,Check2021Mate,-28.35,601,69.46,-235.86,1.71,52.57
5602,chefecoxim,-10.07,840,50.3,-59.94,1.99,43.97
5622,Chercov313,-25.03,1074,71.75,-116.53,0.34,15.2
5680,chiipsz,1.47,730,47.45,10.07,2.72,57.04
5800,chrissachp51,-3.83,2553,43.53,-7.5,0.85,30.25
5869,Cid s2,-59.57,2780,54.14,-107.14,1.46,36.97
5882,cinca1969,-49.48,2053,69.28,-120.51,3.69,57.39
5893,Circle877,1.96,696,42.36,15.66,2.53,49.14
5981,clitsh,-12.79,552,51.27,-115.85,1.48,42.89
6017,cntrru,-0.62,948,49.36,-3.27,0.65,23.5
6028,cobr@1000,7.3,732,48.7,49.86,1.09,27.98
6087,Colormoon,-6.28,694,55.15,-45.24,1.12,34.97
6196,corr.114,-20.85,1386,67.39,-75.22,1.24,40.53
6221,costelverdes112,-111.94,3307,93.01,-169.25,2.3,55.17
6222,costica46,-2.46,548,47.35,-22.45,0.72,24.59
6228,Coudy 1er,-16.32,10326,50.95,-7.9,1.94,43.52
6256,cpolpizdu13,-4.57,527,65.46,-43.36,1.74,44.56
6307,crazyJP,-5.68,1387,41.26,-20.48,4.51,53.01
6356,cristhian022,-6.0,851,56.49,-35.25,0.87,25.51
6398,crosstalk80,10.99,508,52.18,108.17,2.31,52.82
6420,CryFox777,-24.4,1009,44.91,-120.91,1.44,46.26
6470,cual93,-0.53,2043,50.91,-1.3,1.72,40.37
6506,curte ai,-3.91,956,52.31,-20.45,1.52,40.46
6524,cyclingvic,3.6,997,41.79,18.05,2.39,48.03
6548,D-Wolfgang,-20.24,1687,42.46,-59.99,1.33,38.68
6560,D.Sh01,-1.04,2244,42.13,-2.32,0.4,15.65
6608,dabyoluiz,-4.91,865,48.31,-28.38,0.49,18.87
6619,dadien,0.58,501,43.37,5.79,1.75,39.12
6696,DamirGarik,-25.51,3597,41.17,-35.46,0.57,20.22
6697,damis8163,-8.73,927,53.16,-47.09,1.46,43.13
6732,danex1,6.28,1179,46.04,26.63,1.88,43.74
6739,Dani198946,-8.37,663,75.57,-63.12,1.7,42.02
6769,Danielespinoza1,-1.51,995,56.77,-7.59,3.33,47.09
6771,DanielG4885,-7.15,787,42.2,-45.43,1.28,39.74
6795,DaniilFro,-44.46,2451,46.66,-90.7,2.81,55.71
6801,Danileu08,-3.74,1287,49.73,-14.53,1.0,30.66
6809,DaniloBodim,0.41,2210,69.31,0.93,1.96,44.62
6836,Danny Belgie,-17.06,1091,40.5,-78.28,1.51,38.59
6883,Daria623,-3.88,817,59.01,-23.75,1.72,41.06
6884,Daria_kms,-1.45,508,51.77,-14.27,1.13,35.91
6914,DarkNooBom,1.5,682,40.76,11.0,1.81,45.83
6919,Darksheen77,-8.16,764,48.55,-53.4,2.5,47.71
6964,datsun on-do,-4.4,965,49.79,-22.8,1.99,46.79
7016,davide1414,-6.91,710,51.34,-48.66,1.15,31.54
7048,dawikon,-4.46,1304,59.24,-17.1,0.51,21.53
7098,dddpc,-13.85,807,64.13,-85.81,1.25,38.87
7125,DeadPool_LS,-14.73,986,47.51,-74.7,2.93,53.92
